,index,SN,isDyn,isHqe,gain,resolution,dcr,pde,tts,amplitude,HV,PvsV,SvsN,risetime,falltime,fwhm,tts_ss
0,0,PA0F,0,1,10475100.0,0.29,57.1,32.81,9.83,7.98,1800.0,4.25,0.074,6.9,17.5,7.49,5.4215933299545584
1,1,EA0F,1,0,10399500.0,0.27,42.7,30.16,5.8,6.69,1805.0,3.69,0.071,7.09,10.07,12.01,7.779546513408422
2,2,PA1F,0,1,10197300.0,0.36,54.3,31.84,9.44,8.15,1859.0,4.03,0.077,4.37,12.56,7.43,5.535272938974109
3,3,PA2F,0,1,10200100.0,0.33,23.6,26.34,9.25,7.93,1744.0,2.95,0.08,4.65,17.86,7.62,4.375499131397834
4,4,EA1F,1,0,10011100.0,0.26,13.5,28.9,5.84,6.49,2006.0,3.71,0.081,5.8,11.41,11.45,0.8216548936617737
5,5,PA3F,0,1,10078100.0,0.29,11.0,24.3,9.18,8.08,1828.0,3.92,0.084,4.57,16.94,7.4,5.580373763781288
6,6,PA4F,0,1,9872780.0,0.28,13.2,24.7,8.44,8.5,1784.0,5.03,0.077,4.56,10.22,7.14,4.831356685910567
7,7,PA5F,0,1,10248100.0,0.37,21.3,33.25,9.55,7.88,1950.0,2.89,0.075,4.6,17.29,7.67,5.471149762510252
8,8,EA2F,1,0,10491500.0,0.23,14.3,27.87,7.36,6.29,1769.0,3.58,0.073,6.97,10.84,11.41,0.949774732151245
9,9,PA6F,0,1,10323200.0,0.35,43.0,33.56,9.17,7.32,1910.0,3.65,0.074,4.67,18.08,7.59,4.949678821326875
10,10,PA7F,0,1,10340200.0,0.33,23.6,35.16,8.99,7.95,1756.0,3.41,0.079,4.47,17.89,7.53,5.062581802107761
11,11,EA3F,1,0,10183600.0,0.27,19.3,30.75,6.22,5.55,1718.0,3.43,0.074,7.04,9.93,11.65,1.6584518354120001
12,12,PA8F,0,1,9961880.0,0.33,23.6,35.17,8.94,7.36,1924.0,4.09,0.077,4.56,17.87,7.61,4.4384829181423795
13,13,PA1710-1441,0,0,10048600.0,0.34,31.3,27.45,9.18,5.94,1763.0,3.11,0.081,4.56,18.08,7.78,5.340196107037172
14,14,PA9F,0,1,10475800.0,0.3,51.0,34.03,9.29,8.62,1779.0,4.88,0.072,4.43,16.5,7.25,4.873265234672308
15,15,EA4F,1,0,10310300.0,0.26,27.9,28.02,6.32,6.66,2239.0,3.91,0.071,5.69,9.94,11.28,0.89523240791231
16,16,PA10F,0,1,10339800.0,0.32,49.4,34.85,9.81,7.02,1769.0,4.71,0.08,4.58,18.7,7.97,5.117836878870341
17,17,PA11F,0,1,10815400.0,0.3,34.8,34.78,9.99,8.48,1754.0,3.52,0.066,4.63,17.34,7.62,4.780008152384499
18,18,EA1602,1,0,10491700.0,0.26,13.2,26.62,6.63,7.1,1882.0,4.01,0.08,6.83,10.73,11.73,1.1203903203470345
19,19,PA12F,0,1,10007700.0,0.37,31.2,33.44,9.03,7.05,1797.0,2.82,0.078,4.64,18.32,7.9,5.11897528812438
20,20,PA13F,0,1,10498800.0,0.33,58.2,33.4,10.03,8.18,1800.0,3.28,0.073,4.5,17.4,7.55,4.575379813653783
21,21,PA14F,0,1,10136300.0,0.3,45.4,36.19,10.55,7.75,1828.0,5.35,0.077,4.6,18.37,7.57,5.159792755605678
22,22,EA0952,1,0,10231000.0,0.27,13.8,25.78,6.05,6.32,2187.0,3.71,0.074,6.23,10.15,11.31,1.7165839255521342
23,23,PA15F,0,1,10004100.0,0.3,14.1,33.48,9.0,7.78,1795.0,4.59,0.077,4.47,17.56,7.54,5.233106136282941
24,24,PA1709-1440,0,0,10436200.0,0.33,15.4,27.32,9.84,8.39,1769.0,5.47,0.07,4.51,17.37,7.48,5.4350619070543065
25,25,EA1628,1,0,10114200.0,0.29,12.6,27.68,6.08,6.42,1757.0,3.47,0.076,6.78,10.14,11.68,1.3471689397773157
